,productname,price,processor,RAM,os,display,rating
24,HP Pavilion Intel Core i5 11th Gen 1135G7 - (8 GB/512 GB SSD/Windows 10 Home) 14-dv0543TU Thin and Lig...,"₹59,990",intel core i5 processor (12th gen),8 gb ddr4 ram,windows 11 operating system,39.62 cm (15.6 inch) display,4.4
25,"ASUS Vivobook 16X for Creator, Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home/4 GB ...","₹15,990",intel core i7 processor (12th gen),16 gb ddr5 ram,64 bit windows 11 operating system,39.62 cm (15.6 inch) display,4.2
26,CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,"₹62,990",intel core i7 processor (13th gen),16 gb ddr5 ram,64 bit windows 11 operating system,40.89 cm (16.1 inch) display,3.7
27,HP Victus 15 AMD Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,"₹59,740",intel core i7 processor (13th gen),16 gb ddr5 ram,64 bit windows 11 operating system,40.89 cm (16.1 inch) display,4.3
28,"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 13th Gen 1335U - (16 GB/1 TB SSD/Windows 11 Home...","₹65,990",intel core i5 processor (13th gen),4 gb lpddr4x ram,64 bit windows 11 operating system,29.46 cm (11.6 inch) display,4.2
29,HP Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0315TU Thin and Light Laptop,"₹99,990",intel core i9 processor (13th gen),16 gb ddr5 ram,windows 11 operating system,40.64 cm (16 inch) display,4
30,HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,"₹67,899",intel core i7 processor (13th gen),24 gb unified memory ram,windows 11 operating system,34.54 cm (13.6 inch) display,4.2
31,HP Omen AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,"₹46,490",intel core i7 processor (13th gen),16 gb ddr5 ram,64 bit windows 11 operating system,40.89 cm (16.1 inch) display,4.5
32,HP Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home/Intel Integrated intel hd) 14-ek1074TU 2...,"₹60,999",intel core i7 processor (13th gen),16 gb ddr5 ram,64 bit windows 11 operating system,40.89 cm (16.1 inch) display,4.6
33,HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh...,"₹66,990",intel core i7 processor (13th gen),16 gb lpddr5x ram,windows 11 operating system,38.86 cm (15.3 inch) display,4.2
34,ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 4S Thi...,"₹1,27,490",intel core i7 processor (14th gen),16 gb ddr5 ram,windows 11 operating system,40.64 cm (16 inch) display,3.9
35,MICROSOFT Laptop Go 3 Intel Core i5 12th Gen 1235U - (8 GB/256 GB SSD/Windows 11 Home) XK1-00045 Thin ...,"₹17,990",amd ryzen 9 octa core processor,16 gb lpddr5x ram,windows 11 operating system,39.62 cm (15.6 inch) display,4.2
36,HP OMEN Intel Core i7 14th Gen 14650HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,"₹68,990",intel core i7 processor (13th gen),16 gb ddr5 ram,64 bit windows 11 operating system,40.89 cm (16.1 inch) display,4
37,CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop,"₹74,990",intel core i7 processor (13th gen),16 gb ddr5 ram,64 bit windows 11 operating system,40.89 cm (16.1 inch) display,4.1
38,HP Victus Intel Core i5 12th Gen 12450H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹41,000",intel core i7 processor (13th gen),16 gb ddr4x ram,windows 11 operating system,33.78 cm (13.3 inch) touchscreen display,4.2
39,HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU|15-fd0111TU Thin and...,"₹74,990",intel core i3 processor (12th gen),8 gb ddr4 ram,windows,39.62 cm (15.6 inch) display,4.2
40,HP Victus AI Powered AMD Ryzen 7 Octa Core 7840HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NV...,"₹49,990",amd ryzen z1 extreme processor,16 gb lpddr5x ram,windows 11 home operating system,22.35 cm (8.8 inch) touchscreen display,4.3
41,HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0186TU Thin and Light ...,"₹69,990",Not Available,Not Available,Not Available,Not Available,4.2
42,HP Pavilion Plus Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) 14-ew0116TU Thin an...,"₹58,990",Not Available,Not Available,Not Available,Not Available,4.3
43,Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,"₹55,946",Not Available,Not Available,Not Available,Not Available,4.2
44,DELL Inspiron 5430 Intel Core i5 13th Gen - (16 GB/1 TB SSD/Windows 11 Home) IN5430JNH1P001ORS1 Thin a...,"₹69,990",Not Available,Not Available,Not Available,Not Available,4
45,SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG1IN /...,"₹58,990",Not Available,Not Available,Not Available,Not Available,4.5
46,HP Pavilion AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) 14-ec0000AX...,"₹15,990",Not Available,Not Available,Not Available,Not Available,4.2
47,Lenovo Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) V15 G3 IAP Thin and Light Lap...,"₹99,990",Not Available,Not Available,Not Available,Not Available,4.1
48,Acer Swift Go 14 OLED EVO Intel Core i7 13th Gen 13700H - (16 GB/1 TB SSD/Windows 11 Home) SFG14-71-70...,"₹63,500",Not Available,Not Available,Not Available,Not Available,4.3
49,ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,"₹66,990",Not Available,Not Available,Not Available,Not Available,4.2
50,CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,"₹47,800",Not Available,Not Available,Not Available,Not Available,3.7
51,HP Omen AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,"₹1,27,490",Not Available,Not Available,Not Available,Not Available,4.5
52,HP Victus Intel Core i5 13th Gen 13420H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹46,490",Not Available,Not Available,Not Available,Not Available,4.3
53,ASUS TUF Gaming F15 Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NV...,"₹57,990",Not Available,Not Available,Not Available,Not Available,4.4
54,HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s- fr5011TU Thin and Light Lapt...,"₹64,990",Not Available,Not Available,Not Available,Not Available,4.1
55,HP Intel Core i5 12th Gen 1235U - (8 GB/1 TB SSD/Windows 11 Home) 15s-fq5331TU Thin and Light Laptop,"₹17,990",Not Available,Not Available,Not Available,Not Available,4.2
56,HP OMEN Intel Core i7 14th Gen 14650HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,"₹41,000",Not Available,Not Available,Not Available,Not Available,4
57,HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh...,"₹65,500",Not Available,Not Available,Not Available,Not Available,4.2
58,ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,"₹59,985",Not Available,Not Available,Not Available,Not Available,4.4
59,HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,"₹63,990",Not Available,Not Available,Not Available,Not Available,4.3
60,CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop,"₹49,150",Not Available,Not Available,Not Available,Not Available,4.1
61,HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0186TU Thin and Light ...,"₹59,990",Not Available,Not Available,Not Available,Not Available,4.2
62,HP Pavilion Intel Core i5 12th Gen 1235U - (16 GB/1 TB SSD/Windows 11 Home) 14-dv2153TU Thin and Light...,"₹43,400",Not Available,Not Available,Not Available,Not Available,4.2
63,HP Pavilion 14 Touchscreen Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Pavilion ...,"₹69,490",Not Available,Not Available,Not Available,Not Available,4
64,ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,"₹44,790",Not Available,Not Available,Not Available,Not Available,4.3
65,HP Laptop Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5329TU Thin and Light...,"₹60,990",Not Available,Not Available,Not Available,Not Available,4.2
66,HP Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15S-FY5009TU Thin and Light Laptop,"₹57,990",Not Available,Not Available,Not Available,Not Available,4.3
67,HP Pavilion Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 14-dv2014TU Thin and Lig...,"₹82,690",Not Available,Not Available,Not Available,Not Available,3.8
68,ASUS X1502ZA Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ532WS Laptop,"₹64,990",Not Available,Not Available,Not Available,Not Available,4.3
69,"DELL Inspiron 15 with Backlit Keyboard, Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Ho...","₹15,990",Not Available,Not Available,Not Available,Not Available,3.7
70,HP Pavilion 15 AMD Ryzen 5 Hexa Core 13th Gen AMD Ryzen™ 5 5625U - (8 GB/512 GB SSD/Windows 11 Home) 1...,"₹99,990",Not Available,Not Available,Not Available,Not Available,4.4
71,Acer Nitro V AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"₹65,490",Not Available,Not Available,Not Available,Not Available,4.3
72,HP Victus AMD Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce ...,"₹1,27,490",Not Available,Not Available,Not Available,Not Available,4.3
73,Lenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹46,490",Not Available,Not Available,Not Available,Not Available,4.4
74,HP (2024) Laptop with Backlit Keyboard Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home...,"₹60,990",Not Available,Not Available,Not Available,Not Available,3.7
75,ASUS Vivobook S 14 Intel EVO H-Series Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Hom...,"₹60,990",Not Available,Not Available,Not Available,Not Available,4.5
76,CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,"₹53,850",Not Available,Not Available,Not Available,Not Available,4.3
77,HP Omen AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,"₹69,990",Not Available,Not Available,Not Available,Not Available,4.4
78,"Acer Aspire Lite with Backlit Keyboard, Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/Windows 11 Home...","₹17,990",Not Available,Not Available,Not Available,Not Available,4
79,Lenovo LOQ AMD Ryzen 5 Quad Core 7235HS - (24 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,"₹41,000",Not Available,Not Available,Not Available,Not Available,4.2
80,HP OMEN Intel Core i7 14th Gen 14650HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,"₹58,990",Not Available,Not Available,Not Available,Not Available,4.3
81,HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh...,"₹62,990",Not Available,Not Available,Not Available,Not Available,4.2
82,ASUS Vivobook 15 Touch Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EZ311W...,"₹62,990",Not Available,Not Available,Not Available,Not Available,4.2
83,Lenovo IdeaPad Slim 5 Intel Core i5 12th Gen 12450H - (16 GB/1 TB SSD/Windows 11 Home) 14IAH8 Thin and...,"₹49,990",Not Available,Not Available,Not Available,Not Available,3.8
84,"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Ho...","₹51,890",Not Available,Not Available,Not Available,Not Available,4.1
85,Lenovo Thinkpad E14 G5 Intel Core i5 13th Gen 1335U with 3 year Warranty - (16 GB/512 GB SSD/Windows 1...,"₹61,400",Not Available,Not Available,Not Available,Not Available,4.2
86,CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop,"₹58,490",Not Available,Not Available,Not Available,Not Available,4.4
87,HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0186TU Thin and Light ...,"₹1,16,990",Not Available,Not Available,Not Available,Not Available,3.7
88,HP Victus Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX ...,"₹99,990",Not Available,Not Available,Not Available,Not Available,3.5
89,"HP 240 G9 Intel Core i7 12th Gen 1255U Deca Core with Intel Turbo Boost, Finger Print - (16 GB/512 GB ...","₹54,990",Not Available,Not Available,Not Available,Not Available,3.3
90,HP Pavilion Intel Core i5 13th Gen 1340p - (16 GB/512 GB SSD/Windows 11 Home) 15-eg3027TU Thin and Lig...,"₹64,990",Not Available,Not Available,Not Available,Not Available,3.7
91,ASUS Intel Core i5 13th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ522WS Laptop,"₹1,45,990",Not Available,Not Available,Not Available,Not Available,4.2
92,DELL Inspiron 5430 Intel Core i5 13th Gen - (8 GB/512 GB SSD/Windows 11 Home) IN5430YXVW9M01ORS1 Lapto...,"₹1,27,490",Not Available,Not Available,Not Available,Not Available,4.5
93,"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Hom...","₹69,990",Not Available,Not Available,Not Available,Not Available,4.2
94,DELL Inspiron 16 5630 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) IN5630P8YRR001...,"₹62,990",Not Available,Not Available,Not Available,Not Available,4.3
95,HP AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 14s-fy1005AU Thin and Light Laptop,"₹65,547",Not Available,Not Available,Not Available,Not Available,4.5
96,HP Omen Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce R...,"₹51,999",Not Available,Not Available,Not Available,Not Available,4.1
97,HP Omen AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,"₹53,990",Not Available,Not Available,Not Available,Not Available,4.7
98,HP Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0187TU Thin and Light Laptop,"₹73,990",Not Available,Not Available,Not Available,Not Available,4
99,Acer Gaming AMD Ryzen 5 Hexa Core 6600H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,"₹65,990",Not Available,Not Available,Not Available,Not Available,4.2
100,HP OMEN Intel Core i9 13th Gen 13900HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,"₹56,068",Not Available,Not Available,Not Available,Not Available,4.3
101,HP OMEN Intel Core i7 14th Gen 14650HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,"₹58,990",Not Available,Not Available,Not Available,Not Available,3.3
102,"ASUS Vivobook 16X for Creator, Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home/4 GB ...","₹63,690",Not Available,Not Available,Not Available,Not Available,4.2
103,HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,"₹47,890",Not Available,Not Available,Not Available,Not Available,4.2
104,Lenovo IdeaPad Gaming 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphic...,"₹59,500",Not Available,Not Available,Not Available,Not Available,4.3
105,Lenovo Ideapad Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics) 15IAH8...,"₹46,990",Not Available,Not Available,Not Available,Not Available,4.4
106,HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU|15-fd0111TU Thin and...,"₹56,990",Not Available,Not Available,Not Available,Not Available,4.1
107,HP 15s Intel Core i7 13th Gen 1360P - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0024TU Thin and Light La...,"₹69,083",Not Available,Not Available,Not Available,Not Available,4.3
108,ASUS Vivobook Intel Core i7 12th Gen 12700H - (16 GB/512 GB SSD/Windows 11 Home) X1605ZAC-MB741WS Lapt...,"₹62,990",Not Available,Not Available,Not Available,Not Available,4.4
109,HP Victus AMD Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce ...,"₹69,890",Not Available,Not Available,Not Available,Not Available,4.1
110,ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/1 TB SSD/Windows 11 Home...,"₹60,490",Not Available,Not Available,Not Available,Not Available,4.2
111,ASUS VivoBook K15 OLED AMD Ryzen 5 Hexa Core AMD R5-5500U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA...,"₹1,16,990",Not Available,Not Available,Not Available,Not Available,4.2
112,"DELL Inspiron 15 3520 with Backlit Keyboard, Intel Core i5 12th Gen Core i5 - (16 GB/512 GB SSD/Window...","₹99,990",Not Available,Not Available,Not Available,Not Available,4.5
113,ASUS Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX RTX 30...,"₹68,990",Not Available,Not Available,Not Available,Not Available,4.5
114,DELL Inspiron 3520 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 0IN352010031RINB1M...,"₹69,290",Not Available,Not Available,Not Available,Not Available,4.3
115,Acer ALG Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,"₹68,990",Not Available,Not Available,Not Available,Not Available,4
116,HP Pavilion Eyesafe AMD Ryzen 5 Dual Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 14-EC1019AU Thin ...,"₹51,990",Not Available,Not Available,Not Available,Not Available,4.2
117,Lenovo IdeaPad Gaming 3 Intel Core i5 10th Gen 10300H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,"₹1,45,990",Not Available,Not Available,Not Available,Not Available,4.3
118,Lenovo IdeaPad Flex 5 AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) 14ABR8 2 in 1 L...,"₹1,27,490",Not Available,Not Available,Not Available,Not Available,4.5
119,Lenovo IdeaPad Flex 5 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 14ABR8 2 in 1 L...,"₹62,099",Not Available,Not Available,Not Available,Not Available,4.5
120,HP Omen Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce R...,"₹68,990",Not Available,Not Available,Not Available,Not Available,4.3
121,HP Omen AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,"₹46,490",Not Available,Not Available,Not Available,Not Available,4.3
122,ASUS AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX...,"₹40,990",Not Available,Not Available,Not Available,Not Available,4.2
123,ASUS ExpertBook P2 Intel Core i5 10th Gen 10210U - (8 GB/1 TB HDD/DOS/2 GB Graphics) ExpertBook P2 P24...,"₹66,990",Not Available,Not Available,Not Available,Not Available,4.7
